image_name| comment_number| comment|Translated_Comment
4334767542.jpg| 2| Man with black and white hair wearing a white shirt and long boots sweeps outside .|Цагаан цамц өмссөн хар, цагаан үстэй хүн, цагаан цамц өмссөн, урт гутал гадагшаа шүүрддэг.
3240094420.jpg| 2| A group of asian women standing together for photo .|Гэрэл зураг дээр зогсож байгаа Азийн эмэгтэйчүүдийн бүлэг.
3030565991.jpg| 2| A teenage boy wearing a blue and white uniform playing a form of Hockey .|Хоккейн хэлбэртэй цэнхэр, цагаан өнгийн жигд хувцас өмссөн өсвөр насны хүү.
4482773167.jpg| 2| A father and son repair a mildly broken grill .|Эцэг, хүү, хүү бага зэрэг хугарсан мах шарах болно.
3810466608.jpg| 0| A man in a white and brown shirt reading with cokes and an Apples-to-Apples game card set .|Цагаан, хүрэн цамцтай эр хүн, алим, алим-алимны картын картыг уншиж байна.
2871989067.jpg| 4| Four girls in a blue cheerleader outfit  .|Цэнхэр хөгжөөн дэмжигчдийн хувцасны дөрвөн охин.
2335931883.jpg| 4| A big man plays guitar on stage .|Том хүн тайзан дээр гитар тоглодог.
4688199930.jpg| 4| A crowd of people picking up bananas .|Банаг түүж буй хүмүүсийн цугларалт.
1325846369.jpg| 0| A man in a white t-shirt and jeans standing on a scaffold outside a building .|Цагаан футболк, жинсэн өмд байшингийн гадна зогсож байв.
2490687446.jpg| 2| A dog on a leash shakes while in some water .|Усан дотор байгаа нохой нь
2162746678.jpg| 3| A man talks on a cellphone while working .|Эрэгтэй хүн ажиллаж байхдаа гар утсаар ярьдаг.
4432988285.jpg| 1| Two blonds dressed in evening gowns and ornate hats are laughing .|Оройн даашинз өмссөн хоёр шаргал өнгөтэй хувцас өмссөн хоёр шаргал, lenate малгай инээж байна.
10459869.jpg| 2| Six people are sitting at a table eating food .|Зургаан хүн хоол идэж буй ширээн дээр сууж байна.
6140511870.jpg| 4| Damage control cleaning a fire .|Гэмт нь галыг цэвэрлэж байна.
4209480025.jpg| 1| A man shoveling his front steps after a snowstorm .|Нэгэн эр цасан шуурга хийсний дараа урд алхмаа хүрч байна.
1542970158.jpg| 1| The man stands on the scaffolding as he looks outward .|Эрэгтэй хүн гадагшаа хардаг шиг хашгираан дээр зогсож байна.
1547883892.jpg| 3| A young woman sips a coffee and reads a book .|Залуу эмэгтэй кофе ууж, ном уншдаг.
4929501260.jpg| 4| A girl is biking over the street .|Гудамжинд охин унаж байна.
369802520.jpg| 4| A tan dog is walking through snow .|Тан нохой цасаар явж байна.
747093215.jpg| 1| A small boy is playing with a toy lawn mower in a field of dandelions .|Жижиг хүү нь Dandelion-ийн талбайд тоглоомын зүлэглэгийн хөлөг онгоцоор тоглож байна.
4800159134.jpg| 4| A man with a blue bull mask in a crowd of people .|Хүмүүсийн олон хүмүүсийн дунд цэнхэр бухын маск бүхий хүн.
2778696039.jpg| 1| A young male is wearing blue shorts at the edge of a shaded area .|Залуу эрчүүд сүүдэрлэсэн талбайн ирмэг дээр цэнхэр шорт өмсдөг.
4910374312.jpg| 2| A blond boy is sitting in a stroller holding a Korean language book .|Блонд Хүү нь солонгос хэлний номыг барьж байсан тэрэг дээр сууж байна.
3416925417.jpg| 4| A man plays ball with a little boy .|Нэг хүн бяцхан хүүтэй бөмбөг тоглодог.
801607443.jpg| 0| One climber is sitting on the rock overlooking the ocean whilst another climber is on her way up .|Нэг уулчин өөр уулберыг үл тоомсорлож буй далай дээр сууж байна.
3220140234.jpg| 0| One very fat sumo wrestler wrestles with a thinner wrestler while an umpire dressed in green watches .|Нэг өөхний сумо бөхийн барилдаан нь Нимгэн цагтай хувцас өмссөн байхад нимгэн бөхийн бөхийн барилдааныг бөхийлгөдөг.
