image_name| comment_number| comment
2323096887.jpg| 0| A man wearing a black wetsuit cutoff at the elbows and knees surfs on a white surfboard .
373394550.jpg| 3| A child in a black cap sleeping across two chairs .
4971517541.jpg| 3| Five people in clear blue water preparing to scuba dive .
2581980255.jpg| 1| A man in a gray suit standing in front of a red and white moving train .
3508522093.jpg| 4| Little boy laying in a pile of leaves next to a skateboard .
1414820925.jpg| 3| A man in red swim trunks playing volleyball .
3475969992.jpg| 1| A woman is bathed in red light on stage .
3699763582.jpg| 3| A man climbing up a rocky cliff
4894888206.jpg| 4| A group of people lay in the park .
4738236580.jpg| 4| Two taoist monks wearing white praying .
590445887.jpg| 0| The girl with green hair and a green glove is swinging a hula hoop .
1239873050.jpg| 2| Two men in a parking lot are carrying a giant beer bottle above their heads while a woman stands in front of them .
6739582637.jpg| 0| With a bus in the foreground right on the picture , 3 bikers ride the white line on the side of the road , all in single file with their helmets on and the first wearing a green shirt with a backpack and a white car following closely behind them .
3879971251.jpg| 4| A child in an orange sweatshirt holds up a sandal and smiles .
121861208.jpg| 1| Two people walking down a dirt trail with backpacks on looking at items they are carrying .
2205336881.jpg| 0| The girl in the pink sweater is playing with a camera whilst being watched by the woman on the couch
1518841737.jpg| 1| A little boy with black curly hair sitting in a blue chair that is on the sidewalk .
2335511314.jpg| 1| A man in a canoe paddles while another man tosses a net out into a large body of water .
5897488202.jpg| 2| A woman and a young girl watch a science exhibit with another exhibit in the background .
3715201165.jpg| 4| A man bends down to speak to a little girl .
2896180326.jpg| 2| A row of men on motorbikes line up in the grass .
2384353160.jpg| 2| An old man with blue eyes wears a big black hat .
83292701.jpg| 2| Two young boys playing in a dirt top playground .
2224836155.jpg| 2| Two men watch as a man in a blue hard had makes repairs .
941641803.jpg| 0| A guy in an olive-green sweater and blue jeans is playing with a blond-haired toddler in a yard using toy golf clubs .
4294773353.jpg| 2| An elderly man in a black sweatshirt doing cement work .
2907073768.jpg| 1| The BMX rider wearing a black helmet gets air off of a jump .
4559823713.jpg| 3| a teen boy wearing a green jacket is watching a bonfire .
3380519003.jpg| 4| The small dog is chasing a ball .
7072093185.jpg| 2| A lady and gentleman wearing blue gloves placing something into a blue mug .
4777133573.jpg| 4| A man walking while holding roses .
2774554310.jpg| 3| a woman wearing a black tank top revealing a large fairy tattoo .
171211612.jpg| 3| A person underwater using a camera .
3204525212.jpg| 0| a small black and white dog standing next to a large black dog both looking up onto a counter .
4069578876.jpg| 4| 2 black girls in purple shirts sitting near a green fence .
4470892676.jpg| 2| The man in the red shirt pretends to play the violin with an umbrella .
3514278386.jpg| 4| Two girls playing in a game of softball .
4881829141.jpg| 4| A woman sees what a striped shirt would look like on a boy in yellow .
3892563639.jpg| 1| Man in a colorful sombrero and poncho sitting on the grass with 2 goats and a lama .
4937650592.jpg| 2| There is a rider on a dirt bike in race gear on a paved track .
2617215392.jpg| 2| A man offers his phone across the table .
4977226573.jpg| 4| Some people and a car are at an urban intersection .
396084707.jpg| 4| A girl uses pen and ink to write on paper .
2407214681.jpg| 3| Two young boys wearing blue jerseys are washing their hands in a restroom .
2893238950.jpg| 4| Four people in helmets racing on skateboards
43499667.jpg| 0| A shirtless man is holding a welding mask and standing next to a large green metal box .
4672366159.jpg| 1| A man n blue is seen next to a machine through a window .
220513228.jpg| 2| A surfing teenager riding a wave on a white surfboard .
3193671682.jpg| 3| A man kneeling holding a flaming stick .
4368315450.jpg| 1| A person in a black sweater puts down a backpack , sits on a block and holds his or her head .
4735873109.jpg| 2| A man in a yellow and blue jeans is running through water .
105493628.jpg| 3| An elegant food serving on table at a restaurant .
3555086376.jpg| 0| Two young children , one in an inflatable life vest , swim in a pool .
3665179773.jpg| 2| The girl is hugging another girl with a helmet .
2782065752.jpg| 2| The young man in the kerchief is wearing a tool belt .
4294289975.jpg| 4| Man lying under palm tree
427433056.jpg| 3| A little boy is holding a soda and a green balloon .
6532234215.jpg| 1| Female musician pauses her guitar playing to enjoy a moment during a performance .
275854401.jpg| 4| Four men in white shirts standing on a street .
4560829458.jpg| 0| A woman is walking side profile down the street there is a shoe retailer window in the background and a shadow is cast from her arm .
3360876049.jpg| 2| two dirt bike riders ride their dirt bikes .
3518334317.jpg| 4| Men walking in a middle eastern market .
2738092811.jpg| 1| A child in a pink flotation device is in the water and surrounded by adults .
1009692167.jpg| 0| An officer in a reflective vest stands at the front of his van with his dog .
4806158094.jpg| 3| young woman in suit sitting on white bench
2502856739.jpg| 3| Dogs running and playing in a grassy area .
4651826995.jpg| 0| A woman decides to walk across the grass instead of using the sidewalk to get to her destination .
3395052193.jpg| 3| A basketball player scores with a slam dunk .
4707189762.jpg| 0| Two men are climbing up a steep rock face with moss growing out of it .
3048461682.jpg| 1| A small white dog leaps over a root in the woods .
4859995088.jpg| 0| A man in an orange shirt and a baseball cap is sitting on the tailgate of a gray truck parked next to a red compact car in a parking lot .
48509840.jpg| 1| City workers clean up a mess of garbage in the middle of a street .
4872490297.jpg| 4| A girl in a pink shirt is climbing onto a wooden chair .
3545427060.jpg| 2| Three Indian children playing in water .
2553024095.jpg| 4| Two little girls wear dresses and bonnets next to a snake .
3687077099.jpg| 1| A boy in a yellow shirt and blue jeans jumps over exercise pylons while two boys dressed in soccer uniforms look on .
179081851.jpg| 4| A child looks over her mother 's shoulder .
2187503678.jpg| 0| Orange building in the woods surrounded by trees with white dog running away from it .
350588129.jpg| 3| A black dog jumps into a swimming pool .
520341293.jpg| 3| The man is sweeping with a red broom .
1022454332.jpg| 3| A child and a woman are at waters edge in a big city .
7723452818.jpg| 1| Onlookers are praying that the cowboy does not fall off the bull in the rodeo .
3654103642.jpg| 0| A white dog and a brown dog run along side each other at the beach .
65845718.jpg| 2| A lady is in a swimming pool wearing a dark colored bathing suite .
2900274587.jpg| 2| A sunset sky over rippling water .
4702851298.jpg| 2| A young girl in a maid 's outfit and coat is walking across the street .
3274879561.jpg| 2| A deer jumping over a fence .
3609663465.jpg| 1| Through an open doorway there is a man outside with a shovel and a wheelbarrow .
2523307750.jpg| 0| A young man with his back to the camera is being watched by youths sitting at two picnic tables before a backdrop of grass and trees .
2526752524.jpg| 1| A man wearing a white shirt tosses a frisbee in the park .
3626325621.jpg| 2| A man in a plaid shirt standing inside of a hollow tree trunk .
2707835735.jpg| 3| People are hanging out in an art gallery .
4337739734.jpg| 1| A male in an orange shirt next to a container full of an orange substance .
3925292151.jpg| 2| Four people with hats sitting and eating on a bench .
88486769.jpg| 0| Two passengers work on writing in their journals while waiting for a plane .
2394857899.jpg| 2| A man in a public road workers uniform sprays water .
483039719.jpg| 4| Teenager standing up with a headband on
2343886894.jpg| 3| A young man wearing black pants and a red shirt is snowboarding .
3816130053.jpg| 4| A group of people browsing fruit at a farmer 's market .
